Designator,Val,Package,MidX,MidY,Rotation,Layer
C2,10nF,C_0805_2012Metric,162.5,-101.75,0,top
C3,22uf/25,C_0805_2012Metric,151.5,-108.75,-90,top
C4,.1uF/25,C_0805_2012Metric,149.25,-108.75,-90,top
C5,1uF,C_0805_2012Metric,142.75,-106,-90,top
C6,22uf/25,C_1206_3216Metric,149.75,-115.75,90,top
C7,22uf/25,C_1206_3216Metric,152.25,-115.75,90,top
D2,LED,LED_0805_2012Metric,137.75,-116,-90,top
L1,6.8uH,Inductor-L_6.3x6.3_H3,144.59,-115,0,top
Q1,2SA1015,SOT-23,131,-123.33,0,top
R1,680,R_0805_2012Metric,139.75,-116,90,top
R2,300,R_0805_2012Metric,130.9,-119.25,180,top
R3,110R,R_0805_2012Metric,120.25,-119,-90,top
R4,10k,R_0805_2012Metric,145.5,-103,180,top
R5,7.68k,R_0805_2012Metric,140.75,-106,0,top
R6,40.2k,R_0805_2012Metric,142,-103,180,top
R7,100K,R_0805_2012Metric,150.25,-105.75,0,top
J7,BL8033,SOT-23-6L,146,-106.5,270,top
