Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,CAP-SMD_BD16.0-L17.0-W17.0-FD-LS18.0,CAP-SMD_BD16.0-L17.0-W17.0-FD-LS18.0,214.75,52.25,180,top
C2,10nF,C_0805_2012Metric,250.25,44.35,0,top
C3,22uf/25,C_1206_3216Metric,236.55,44,-90,top
C4,.1uF/25,C_0805_2012Metric,234.25,44.55,-90,top
C5,1uF,C_0805_2012Metric,227.9875,47.5,-90,top
C6,22uf/25,C_1206_3216Metric,240.5,29.75,-90,top
C8,220uF,CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD,214,27.1,180,top
C9,47uF,C_1206_3216Metric,238.1,29.75,-90,top
C10,.1uF/25,C_0805_2012Metric,242.75,30.35,-90,top
C11,50pF,C_0805_2012Metric,244.85,30.35,-90,top
D1,SD560B,D_SMB,211.6,70.25,180,top
D2,SD560B,D_SMB,219.6,70.25,0,top
D3,SD560B,D_SMB,211.6,65.75,180,top
D4,SD560B,D_SMB,219.6,65.75,0,top
D5,Green Power LED,LED_0805_2012Metric,214,37,-90,top
D6,Red Fuse LED,LED_0603_1608Metric,244,44.75,-90,top
D7,1N4148W,D_SOD-123,244.375,37.55,-90,top
FUSE1,F1812,F1812,240.6,37.5,-90,top
J2,DC-005-5A-2.5,BarrelJack_Horizontal,204.39,64.2975,0,top
J7,BL8033,SOT-23-6_Handsoldering,231,46.8,-90,top
L1,IND-SMD_L4.9-W4.5,IND-SMD_L4.9-W4.5,240.3,43.65,-90,top
L2,IND-SMD_L13.0-W13.0,IND-SMD_L13.0-W13.0,230,34.4,-90,top
Q1,2SA1015,SOT-23,218.75,22.77,0,top
R1,2.2k,R_0805_2012Metric,216,37,90,top
R2,300,R_0805_2012Metric,220.75,26.85,180,top
R3,110R,R_0805_2012Metric,208,27.1,-90,top
R4,10k,R_0805_2012Metric,225.8,47.5,-90,top
R5,7.68k,R_0805_2012Metric,223.75,44.1,-90,top
R6,40.2k,R_0805_2012Metric,225.8,44.1,-90,top
R7,100K,R_0805_2012Metric,234.65,48.3,0,top
R8,2.2k,R_0603_1608Metric,244,41.5,-90,top
