Designator,Qty,Query,Value,Description, Price ,Mouser
C1,1,UVZ1E222MHD,2200uF,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm, $1.00 ,https://www.mouser.com/ProductDetail/Nichicon/UVZ1E222MHD?qs=IervGVB6FOU7x4X6KRxxHg%3D%3D
C2,1,C322C103K3G5TA,10nF, Ceramic Capacitors - 25V 0.01uF, $0.57 ,https://www.mouser.com/ProductDetail/KEMET/C322C103K3G5TA?qs=h3%2Fj8evtlm2CUEq59T%2FBjg%3D%3D
C3,1,A750KK107M1EAAE040,100uF,"Aluminum Organic Polymer Capacitors 25V 100uF 20%	", $0.62 ,https://www.mouser.com/ProductDetail/KEMET/A750KK107M1EAAE040?qs=M6jHmRuQorXMeyrpWCoqNA%3D%3D
C4,1,A750MS108M1CAAE013,1000uF,Aluminum Organic Polymer Capacitors 16V 1000uF 20%, $1.00 ,https://www.mouser.com/ProductDetail/KEMET/A750MS108M1CAAE013?qs=M6jHmRuQorWp2arzU7dLeQ%3D%3D
C8,1,A750EK227M1CAAE016,220uF,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm, $0.58 ,https://www.mouser.com/ProductDetail/KEMET/A750EK227M1CAAE016?qs=M6jHmRuQorX%252BbkmlO9snxA%3D%3D
D1,1,DF210-G,-,"Bridge Rectifier Single Phase Standard 1 kV 2A TH 4-DF	", $0.64 ,https://www.mouser.com/ProductDetail/Comchip-Technology/DF210-G?qs=tw%252BuQ%2FB6PO0Sbs3Iip8sAA%3D%3D
D2,1,LTL-4231N,-,3mm Through Hole Green Diffused LED, $0.35 ,https://www.mouser.com/ProductDetail/Lite-On/LTL-4231N?qs=sGAEpiMZZMt82OzCyDsLFLvoqsggc1EKP%252Bwq8dfohko%3D
D3,1,1N5822,-,Schottky Diodes & Rectifiers Vr/40V Io/3A, $0.47 ,https://www.mouser.com/ProductDetail/STMicroelectronics/1N5822?qs=JV7lzlMm3yJ50hlrGV6%252BnQ%3D%3D
J1,1,Power Jack,PJ-037A,"2.1mm ID, DC Power Supply Connector, 2 Pin", $0.68 ,https://www.mouser.com/ProductDetail/CUI-Devices/PJ-037A?qs=WyjlAZoYn53bdNRXfildEA%3D%3D
J3,1,White RCA,"RCJ-043	",Left Audio - White RCA Jack, $1.64 ,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-043?qs=WyjlAZoYn518Y1bnzBVySQ%3D%3D
J4,1,Yellow RCA,"RCJ-044	",Video Out Yellow RCA Jack, $1.64 ,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-044?qs=WyjlAZoYn50SPBJvOy7ojw%3D%3D
J5,1,Red RCA "RCJ-042	",Right Audio - Red RCA Jack, $1.64 ,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-042?qs=WyjlAZoYn51fgBDaFkMuLQ%3D%3D
L1,1,RLH0912-101KBRL,Fixed Inductors 100 UH 10% - 100uH 2.8A, $0.74 ,https://www.mouser.com/ProductDetail/Bourns/RLH0912-101KBRL?qs=SUrgTEU5cSrFa1nDGK2Agg%3D%3D
Q1,1,KSA1015YTA,-,"Bipolar (BJT) Transistor PNP 50 V 150 mA 80MHz 400 mW	", $0.44 ,https://www.mouser.com/ProductDetail/onsemi-Fairchild/KSA1015YTA?qs=ljbEvF4DwOP4wK7PS53%252BtA%3D%3D
R1,1,CFR-25JR-52-4K7,4.7K,Carbon Film Resistors - Through Hole 1/4W 4.7K Ohm , $0.10 ,https://www.mouser.com/ProductDetail/YAGEO/CFR-25JR-52-4K7?qs=19cKSROHwrBRLpg8X4NO6w%3D%3D
R2,1,CFR-25JR-52-300R,300,Carbon Film Resistors - Through Hole 1/4W 300 Ohm, $0.10 ,https://www.mouser.com/ProductDetail/YAGEO/CFR-25JR-52-300R?qs=acBVhj9v9XV2F2DZx6BGfA%3D%3D
R3,1,CFR-25JB-52-110R,110,Carbon Film Resistors - Through Hole 1/4W 110 Ohm, $0.10 ,https://www.mouser.com/ProductDetail/YAGEO/CFR-25JB-52-110R?qs=2kOmHSv6VfQVuqRcTO%252B9uQ%3D%3D
U1,1,L4940D2T5-TR,-,LDO Voltage Regulators 5.0V 1.5A Positive, $2.15 ,https://www.mouser.com/ProductDetail/STMicroelectronics/L4940D2T5-TR?qs=KmQR6Yc%252BszXA78B4i2vhjQ%3D%3D
