Comment,Designator,SMD Footprints,LCSC,Mouser,
6.8uH,L1,SMD_6x6x4.5mm,C206253,,
BL8033,J7,SOT-23-6L,C160717,,
.01uF,C2,Capacitor_SMD:C_0805_2012Metric,C1710,,
22uF,C3,Capacitor_SMD:C_0805_2012Metric,C602037,,
.1uF,C4,Capacitor_SMD:C_0805_2012Metric,C49678,,
1uF,C5,Capacitor_SMD:C_0805_2012Metric,C28323,,
22uF,"C6,C7",Capacitor_SMD:C_1206_3216Metric,C12891,,
300R,R2,Resistor_SMD:R_0805_2012Metric,C17617,,
110R,R3,Resistor_SMD:R_0805_2012Metric,C17423,,
10K,R4,Resistor_SMD:R_0805_2012Metric,C17414,,
7.68k,R5,Resistor_SMD:R_0805_2012Metric,C30041,,
40.2k,R6,Resistor_SMD:R_0805_2012Metric,C17678,,
100K,R7,Resistor_SMD:R_0805_2012Metric,C149504,,
470,R8,Resistor_SMD:R_0805_2012Metric,C17710,,
TTR8MF,D1,TTF,C712546,,Full Bridge Rectifier
Green_LED,D2,LED_SMD:LED_0805_2012Metric,C2297,,Optional
2.2K,R1,Resistor_SMD:R_0805_2012Metric,C17520,,Optional
,,,,,
Comment,Designator,Through Hole FootPrints,LCSC,Mouser,
2200uF,C1,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,,UVZ1E222MHD,
Power Jack,J1,"2.1mm ID, DC Power Supply Connector, 2 Pin",,PJ-037A,
Palette Switch,SW1,THT,,EG2319,
9 Pin Gen2 Connector,J5,9 Pin Gen2 Connector,,MD-90SM,
Red RCA,J5,Right Audio - Red RCA Jack,,RCJ-042,
White RCA (If using Dual Mono),J3,Left Audio - White RCA Jack,,RCJ-043,*J3 can be either White or Yellow depending on how you want to use this port
Yellow RCA (If using Componsite),J3,Video Out Yellow RCA Jack,,RCJ-044,*J3 can be either White or Yellow depending on how you want to use this port
Slide Switch,J10,THT,,OS102011MS2QN1,
Right Angle Slide Switch,J11,THT,,OS102011MA1QN1,
JST PH Cable/Connectors,J8,,,,https://www.amazon.com/gp/product/B096QG96J4
Optional Rigth Angle JST PH Connector,J8,,,,https://www.amazon.com/gp/product/B0BM492MMF
3 Pin JST with cable for co
