Comment,Designator,SMD Footprints,LCSC,Mouser,Website
6.8uH,L1,SMD_6x6x4.5mm,C206253,,
BL8033,J7,SOT-23-6L,C160717,,
.01uF,C2,Capacitor_SMD:C_0805_2012Metric,C1710,,
22uF,C3,Capacitor_SMD:C_0805_2012Metric,C602037,,
.1uF,C4,Capacitor_SMD:C_0805_2012Metric,C49678,,
1uF,C5,Capacitor_SMD:C_0805_2012Metric,C28323,,
22uF,C6,Capacitor_SMD:C_1206_3216Metric,C12891,,
300R,R2,Resistor_SMD:R_0805_2012Metric,C17617,,
110R,R3,Resistor_SMD:R_0805_2012Metric,C17423,,
10K,R4,Resistor_SMD:R_0805_2012Metric,C17414,,
7.68k,R5,Resistor_SMD:R_0805_2012Metric,C30041,,
40.2k,R6,Resistor_SMD:R_0805_2012Metric,C17678,,
100K,R7,Resistor_SMD:R_0805_2012Metric,C149504,,
470,R8,Resistor_SMD:R_0805_2012Metric,C17710,,
TTR5MF,D1,TTF,C911077,,
Green_LED,D2,LED_SMD:LED_0805_2012Metric,C2297,,
2K,R1,Resistor_SMD:R_0805_2012Metric,C17520,,
3P Header,J12,PinHeader_1x02_P2.54mm_Vertical,C2937625,,
,,,,,
Comment,Designator,Through Hole FootPrints,LCSC,Mouser,
2200uF,C1,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm, ,UVZ1E222MHD,
Power Jack,J1,"2.1mm ID, DC Power Supply Connector, 2 Pin", ,PJ-037A,
Palette Switch,SW1,, ,EG2319,
Red RCA,J5,Right Audio - Red RCA Jack, ,"RCJ-042	",
White RCA,J3,Left Audio - White RCA Jack, ,"RCJ-043	",
Yellow RCA,J3,Video Out Yellow RCA Jack, ,"RCJ-044	",
7 Pin JST Cable 20CM,-,JST ZH 1.5mm 7P,-,-,https://www.aliexpress.us/item/2251832866824604.html
7 Pin JST Header,J8,JST ZH 1.5mm 7P,-,-,https://www.aliexpress.us/item/3256802776860690.html
Gen2 Connector,J9,THT,-,MD-90SM,
Slide Switch - Upright,J10,THT,-,OS102011MS2QN1,
Slide Switch Right Angle,J11,THT,-,OS102011MA1QN1,
