Designator,Val,Package,MidX,MidY,Rotation,Layer
C2,10nF,C_0805_2012Metric,254.5,53.75,-90,top
C3,22uf/25,C_1206_3216Metric,250,47.2,-90,top
C4,.1uF/25,C_1206_3216Metric,247.5,47.2,-90,top
C5,1uF,C_0805_2012Metric,240.55,50.5,-90,top
C6,22uf/25,C_1206_3216Metric,247.55,40.75,90,top
C8,220uF,CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD,251.5,70,180,top
D1,TTR8MF,DIO-BG-TH_TTF,223.55,75,90,top
D2,Power LED,LED_0805_2012Metric,219.4375,52.7,0,top
J2,EJ503A,THT,214.5,74.7,180,top
J7,BL8033,SOT-23-6_Handsoldering,243.8,50,-90,top
J12,3P Header,PinHeader_1x03_P2.54mm_Vertical,205.75,63,90,top
L1,6.8uH,Inductor-L_6.3x6.3_H3,242.39,41.5,0,top
Q1,2SA1015,SOT-23,260.75,64,90,top
R1,680,R_0805_2012Metric,219.4375,50.7,180,top
R4,10k,R_0805_2012Metric,243.3,53.5,180,top
R5,7.68k,R_0805_2012Metric,238.55,50.5,-90,top
R6,40.2k,R_0805_2012Metric,239.8,53.5,180,top
R7,100K,R_0805_2012Metric,248.05,50.75,0,top
R8,470,R_0805_2012Metric,217.7,38.5,90,top
R9,300,R_0805_2012Metric,260.5,59,90,top
R10,110R,R_0805_2012Metric,245.5,69,90,top
