Comment,Designator,SMD Footprints,LCSC
2200uF,C1,"SMD,D12.5xL13.5mm",C99834
10nF,"C2,C9",C_0805_2012Metric,C1710
47uF,C3,C_0805_2012Metric,C76636
1uF,C4,C_0805_2012Metric,C28323
22uF,C5,C_0805_2012Metric,C45783
.1uF,C6,C_0805_2012Metric,C49678
330uF,C7,"SMD,6.3x5.8mm",C176319
220uF,C8,CAP-SMD,C259967
Green_LED,D1,LED_0805_2012Metric,C2297
SMA4734A,D2,SMA(DO-214AC),C2917848
Red_LED,D3,LED_0805_2012Metric,C84256
1N4148W,D4,SOD-123,C81598
MINISMDC150F/16-2,FUSE1,F1812,C315955
1.5K,R1,R_0805_2012Metric,C4310
300R,R2,R_0805_2012Metric,C17617
110R,R3,R_0805_2012Metric,C246031
5.1K,"R4,R5",R_0402_1005Metric,C105872
680R,"R6,R7",R_0805_2012Metric,C17798
2SA1015,Q1,SOT-23,C181170
SP0502BAHTG,"Q2,Q3",SOT-23,C207261
X0202AG-A-AA3-R,T1,SOT-223-3_TabPin2,C696248
PESDNC2XD5VB,U1,DFN0603-D,C110696
DX07S024XJ1R1100,J2,USB SMD,C134113
