Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,2200uF,CAP-SMD_BD12.5-L13.0-W13.0-RD,212.5,49,0,top
C2,10nF,C_0805_2012Metric,244.75,39.75,180,top
C3,22uf/25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,243,35.5,90,top
C4,22uf/25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,245.25,35.5,90,top
C5,22uf/25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,243,28.4125,-90,top
C6,22uf/25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,245.25,28.4125,-90,top
C7,220uF,CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD,237,32,180,top
C8,220uF,CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD,215,24,180,top
C9,10nF,C_0805_2012Metric,237.9,55.2,0,top
D1,Power LED,LED_0805_2012Metric,238.34375,25.06875,90,top
D2,SMA4734A,SMA_L4.2-W2.7-LS5.0-RD,233.3,49.9,90,top
D3,Power LED,LED_0805_2012Metric,225.6,41.7,-90,top
D4,1N4148W,D_SOD-123,222,42.3375,180,top
FUSE1,MINISMDC125F/16-2,F1812,225.2,47.3,0,top
J2,DX07S024XJ1R1100,USB-C-TH_DX07S024XJ1R1100-1,198.33,61.35,-90,top
Q1,2SA1015,SOT-23,219.75,19.67,0,top
Q2,SP0502BAHTG,SOT-23,201.03,53.7875,90,top
Q3,SP0502BAHTG,SOT-23,206.8625,59.8,180,top
R1,680,R_0805_2012Metric,236.34375,25.06875,-90,top
R2,300,R_0805_2012Metric,221.75,23.75,180,top
R3,110R,R_0805_2012Metric,209,24,-90,top
R4,5.1K,R_0402_1005Metric,198.63,54.4875,-90,top
R5,5.1K,R_0402_1005Metric,202.83,61.1875,0,top
R6,680,R_0805_2012Metric,227.7,41.7,-90,top
R7,680,R_0805_2012Metric,234.4,55.2,180,top
T1,MCR08BT1G,SOT-223-3_TabPin2,239.3,49.4,90,top
U1,DFN0603-D_L0.6-W0.3-P0.34-RD,DFN0603-D_L0.6-W0.3-P0.34-RD,202.53,62.0875,180,top
